route_id,assigned_station,sequence,cluster_id,centroid_lat,centroid_lng,roi_score,route_reward,violation_count,road_class,lcle_pct,bci,persistence,recurrence,peak_window,classification,review_required,routing_source,nearest_node_from,nearest_node_to,estimated_leg_km,estimated_leg_minutes,cumulative_minutes,recommended_action
ROUTE_ADUGODI_001,ADUGODI,1,C_446,12.932364,77.63175,92.5277,0.6505,571,secondary,55.7449,0.02349911819758475,59.5,0.6522,02:00-04:00,STRUCTURAL,False,start,,,0.0,0.0,10.0,Recurring patrol + towing support + signage/infra review
ROUTE_ADUGODI_001,ADUGODI,2,C_290,12.937134,77.627115,68.0812,0.4484,99,secondary,12.4108,0.024179628463051946,9.5,0.913,14:00-16:00,STRUCTURAL,True,graph,3801688120.0,6017833813.0,0.7992,1.1707,21.17,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
ROUTE_ADUGODI_001,ADUGODI,3,C_751,12.935647,77.611595,79.059,0.4801,59,primary,20.7464,0.06828154123962799,10.5,0.3478,11:00-13:00,RESPONSIVE,False,graph,6017833813.0,1744462784.0,2.0902,2.984,34.15,Targeted short-term patrol during peak window
ROUTE_ADUGODI_001,ADUGODI,4,C_527,12.931823,77.613841,67.3432,0.4545,23,tertiary,45.9463,0.07577213715653429,2.0,0.4783,04:00-06:00,RESPONSIVE,True,graph,1744462784.0,11306430808.0,0.6737,0.6763,44.83,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_ADUGODI_001,ADUGODI,5,C_362,12.940133,77.609321,77.583,0.4642,26,primary,13.882,0.08130592967352601,8.0,0.4783,03:00-05:00,RESPONSIVE,True,graph,11306430808.0,443252722.0,1.0886,1.0886,55.92,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_ADUGODI_001,ADUGODI,6,C_401,12.936915,77.60544,76.107,0.4888,28,primary,39.6739,0.051208413568187276,8.5,0.2174,03:00-05:00,RESPONSIVE,True,graph,443252722.0,12165431788.0,1.9268,2.9348,68.85,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_ADUGODI_001,ADUGODI,7,C_213,12.935766,77.615988,50.738,0.4481,1015,residential,77.0512,0.00035117999226068824,62.0,1.0,09:00-11:00,STRUCTURAL,True,graph,12165431788.0,308921511.0,2.2783,2.9825,81.84,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
ROUTE_ADUGODI_001,ADUGODI,8,C_935,12.937554,77.610676,63.4686,0.3888,16,primary,14.7227,0.08664474477081852,7.0,0.1304,14:00-16:00,SEASONAL,True,graph,308921511.0,1744462784.0,0.6235,0.9716,92.81,"Review geography first; if confirmed, apply: Weekend/day-specific patrol during predicted peak window"
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,1,C_179,12.970169,77.610204,89.6679,0.5666,93,secondary,36.1894,0.09218914965588483,14.0,0.6522,12:00-14:00,RESPONSIVE,False,start,,,0.0,0.0,10.0,Targeted short-term patrol during peak window
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,2,C_167,12.970139,77.606727,79.3358,0.5247,509,secondary,22.5466,0.008161006678562293,52.5,0.7826,04:00-06:00,STRUCTURAL,False,graph,248459878.0,248455487.0,0.5343,0.8082,20.81,Recurring patrol + towing support + signage/infra review
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,3,C_927,12.971225,77.605562,86.9926,0.5646,55,primary,32.5754,0.18397352111533,9.5,0.2609,16:00-18:00,SEASONAL,False,graph,248455487.0,248459877.0,0.691,1.0093,31.82,Weekend/day-specific patrol during predicted peak window
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,4,C_63,12.973761,77.609369,84.9631,0.548,148,residential,46.4859,0.04628896624862843,32.0,0.5217,10:00-12:00,SEASONAL,False,graph,248459877.0,62011481.0,0.4121,0.7488,42.57,Weekend/day-specific patrol during predicted peak window
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,5,C_644,12.974338,77.610911,70.941,0.4595,25,secondary,36.4513,0.07223308488187519,4.0,0.3043,04:00-06:00,RESPONSIVE,True,graph,62011481.0,11854316017.0,0.2397,0.4795,53.05,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,6,C_23,12.973805,77.60763,68.8192,0.4802,540,secondary,32.4048,0.0017135449858200267,50.0,1.0,12:00-14:00,STRUCTURAL,True,graph,11854316017.0,423784668.0,0.5144,1.0199,64.07,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,7,C_530,12.97187,77.606927,73.2472,0.4442,22,primary,18.3373,0.0683136407647241,3.5,0.6087,11:00-13:00,SEASONAL,True,graph,423784668.0,248455485.0,0.1939,0.3878,74.45,"Review geography first; if confirmed, apply: Weekend/day-specific patrol during predicted peak window"
ROUTE_ASHOK_NAGAR_001,ASHOK NAGAR,8,C_942,12.971463,77.606131,71.0332,0.4541,23,primary_link,36.6973,0.040341370363933135,6.5,0.2609,17:00-19:00,SEASONAL,True,graph,248455485.0,248459877.0,0.9103,1.3312,85.78,"Review geography first; if confirmed, apply: Weekend/day-specific patrol during predicted peak window"
ROUTE_BANASHANKARI_001,BANASHANKARI,1,C_32,12.917223,77.57351,95.203,0.6296,396,primary,25.4251,0.07808843510229599,40.5,1.0,03:00-05:00,STRUCTURAL,True,start,,,0.0,0.0,10.0,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
ROUTE_BANASHANKARI_001,BANASHANKARI,2,C_440,12.926744,77.550807,95.0185,0.6062,298,secondary,32.3939,0.16762293349884735,27.5,0.6957,11:00-13:00,RESPONSIVE,False,graph,248839215.0,10089424035.0,3.5474,4.6209,24.62,Targeted short-term patrol during peak window
ROUTE_BANASHANKARI_001,BANASHANKARI,3,C_436,12.934956,77.536479,68.4502,0.4503,211,residential,46.875,0.005305772214396785,45.0,0.5652,02:00-04:00,RESPONSIVE,False,graph,10089424035.0,3681745349.0,2.0537,2.2739,36.89,Targeted short-term patrol during peak window
ROUTE_BANASHANKARI_001,BANASHANKARI,4,C_836,12.938463,77.533591,73.3395,0.4699,32,tertiary,27.0978,0.12854099451359421,4.5,0.3478,13:00-15:00,RESPONSIVE,False,graph,3681745349.0,699684299.0,0.5652,0.7695,47.66,Targeted short-term patrol during peak window
ROUTE_BANASHANKARI_001,BANASHANKARI,5,C_708,12.919287,77.542186,41.6052,0.2818,21,tertiary,33.8405,0.010525549572287964,3.5,0.3478,12:00-14:00,RESPONSIVE,True,graph,699684299.0,1836982825.0,2.9798,3.7448,61.41,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_BANASHANKARI_001,BANASHANKARI,6,C_640,12.942304,77.548396,17.5277,0.1613,31,tertiary,43.0123,0.00043283544421468626,6.5,0.3478,13:00-15:00,RESPONSIVE,False,graph,1836982825.0,447046757.0,3.1771,4.8578,76.27,Targeted short-term patrol during peak window
ROUTE_BANASHANKARI_001,BANASHANKARI,7,C_869,12.924596,77.575188,4.797,0.11,15,residential,55.4518,0.00030764245685263407,7.5,0.0435,11:00-13:00,RESPONSIVE,True,graph,447046757.0,335542568.0,4.4245,7.0734,93.34,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_BANASHANKARI_001,BANASHANKARI,8,C_868,12.92494,77.575292,4.3358,0.1074,15,residential,55.4518,0.00026913460424118327,7.5,0.0435,11:00-13:00,RESPONSIVE,True,graph,335542568.0,335542767.0,0.0455,0.0964,103.44,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_BANASWADI_001,BANASWADI,1,C_2,13.000005,77.675189,96.7712,0.7222,129,trunk,22.4047,0.5268650161131776,19.0,0.7391,01:00-03:00,STRUCTURAL,False,start,,,0.0,0.0,10.0,Recurring patrol + towing support + signage/infra review
ROUTE_BANASWADI_001,BANASWADI,2,C_142,12.993669,77.662654,97.6015,0.6585,818,primary,19.928,0.1840174896277889,89.5,0.8696,14:00-16:00,STRUCTURAL,False,graph,6517987448.0,1563326173.0,2.2311,2.7174,22.72,Recurring patrol + towing support + signage/infra review
ROUTE_BANASWADI_001,BANASWADI,3,C_792,12.980109,77.652111,80.8118,0.5648,60,tertiary,75.5497,0.03193815230727675,12.0,0.4783,05:00-07:00,RESPONSIVE,False,graph,1563326173.0,6504283888.0,2.8939,3.5217,36.24,Targeted short-term patrol during peak window
ROUTE_BANASWADI_001,BANASWADI,4,C_289,12.983584,77.679803,58.9483,0.3823,26,secondary,33.0833,0.04161875200417253,4.0,0.2174,03:00-05:00,RESPONSIVE,True,graph,6504283888.0,1569033819.0,4.0575,6.0007,52.24,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
ROUTE_BANASWADI_001,BANASWADI,5,C_288,13.022487,77.637966,75.0,0.4588,145,tertiary,27.0543,0.022337821141833487,23.0,0.4783,13:00-15:00,RESPONSIVE,False,graph,1569033819.0,1942789792.0,8.5017,11.864,74.1,Targeted short-term patrol during peak window
ROUTE_BANASWADI_001,BANASWADI,6,C_663,13.01294,77.626576,56.8266,0.4023,27,tertiary,58.2425,0.009673288988239435,10.0,0.2609,03:00-05:00,RESPONSIVE,True,graph,1942789792.0,10074471230.0,2.4817,3.9886,88.09,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
