cluster_id,centroid_lat,centroid_lng,assigned_station,border_flag,road_class,road_width_m,osm_coverage,violation_count,vehicle_mix,lcle_pct,bci,persistence,recurrence,peak_window,roi_score,classification,recommended_action
C_0_1,12.977403717768697,77.5773298318895,UPPARPET,0,tertiary,6.0,1,23553,"CAR:8458,SCOOTER:7642,MOTOR CYCLE:2872,PASSENGER AUTO:2364,MAXI-CAB:634,LGV:501,MOPED:235,PRIVATE BUS:206,GOODS AUTO:188,VAN:137,JEEP:131,OTHERS:67,TEMPO:41,HGV:31,TOURIST BUS:21,LORRY/GOODS VEHICLE:10,MINI LORRY:5,SCHOOL VEHICLE:4,TANKER:4,TRACTOR:2",100.0,4.04472360234527e-05,1614.0,1.0,09:00-11:00,74.7232,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_990,12.966883100000002,77.6580866,JEEVANBHEEMANAGAR,0,residential,3.5,0,49,"CAR:38,SCOOTER:4,MAXI-CAB:4,MOTOR CYCLE:2,OTHERS:1",100.0,0.004635084400712635,14.0,0.043478260869565216,09:00-11:00,30.5351,RESPONSIVE,Targeted short-term patrol during peak window
C_358,13.183891041558445,77.6862881311688,CHIKKAJALA,0,residential,3.5,0,77,"CAR:72,MAXI-CAB:4,HGV:1",100.0,0.0004657463536303624,16.0,0.391304347826087,04:00-06:00,30.8118,RESPONSIVE,Targeted short-term patrol during peak window
C_808,12.925705887341772,77.6193750578059,MADIWALA,0,residential,3.5,0,237,"CAR:166,LGV:12,PRIVATE BUS:10,PASSENGER AUTO:10,GOODS AUTO:7,MINI LORRY:7,LORRY/GOODS VEHICLE:7,MAXI-CAB:4,MOTOR CYCLE:3,TEMPO:3,OTHERS:2,SCOOTER:2,FACTORY BUS:1,TOURIST BUS:1,VAN:1,MOPED:1",100.0,0.00808870461048104,24.5,0.5217391304347826,09:00-11:00,74.4465,RESPONSIVE,Targeted short-term patrol during peak window
C_1004,12.974191215789475,77.54894824736843,MAGADI ROAD,0,residential,3.5,0,19,"LGV:8,MAXI-CAB:7,CAR:2,MOTOR CYCLE:1,SCOOTER:1",100.0,0.00656938379754337,5.5,0.08695652173913043,03:00-05:00,32.0111,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_0_2,12.972446979126678,77.57808809665825,UPPARPET,0,residential,3.5,0,8323,"SCOOTER:3588,MOTOR CYCLE:1310,CAR:1255,PASSENGER AUTO:1129,LGV:486,MOPED:195,GOODS AUTO:143,MAXI-CAB:101,VAN:25,JEEP:25,OTHERS:19,HGV:17,TEMPO:10,LORRY/GOODS VEHICLE:8,PRIVATE BUS:6,SCHOOL VEHICLE:2,MINI LORRY:2,TRACTOR:1,TANKER:1",100.0,0.00027718622722521283,626.5,1.0,09:00-11:00,79.1513,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_282,13.0457025,77.5488656,JALAHALLI,0,residential,3.5,0,20,"CAR:17,MAXI-CAB:2,SCOOTER:1",100.0,0.0006344776149698473,10.0,0.043478260869565216,11:00-13:00,12.0849,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_383,13.03465085225564,77.6243903206767,K.G. HALLI,0,residential,3.5,0,266,"CAR:99,LGV:43,TEMPO:39,HGV:36,MAXI-CAB:12,PASSENGER AUTO:10,GOODS AUTO:6,LORRY/GOODS VEHICLE:4,JEEP:3,SCOOTER:3,MINI LORRY:2,MOTOR CYCLE:2,OTHERS:2,PRIVATE BUS:2,TRACTOR:1,SCHOOL VEHICLE:1,VAN:1",100.0,0.00026259434241962326,42.0,0.6086956521739131,04:00-06:00,40.7749,SEASONAL,Weekend/day-specific patrol during predicted peak window
C_806,13.028328149999998,77.580979685,KODIGEHALLI,0,residential,3.5,0,20,"CAR:19,MOTOR CYCLE:1",100.0,0.01107437759336544,6.0,0.08695652173913043,10:00-12:00,39.0221,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_14,12.983488878473665,77.60328934115961,SHIVAJINAGAR,0,tertiary,4.0,0,4501,"PASSENGER AUTO:2852,CAR:675,SCOOTER:602,MOTOR CYCLE:171,MAXI-CAB:66,LGV:65,GOODS AUTO:26,VAN:12,LORRY/GOODS VEHICLE:8,MOPED:4,PRIVATE BUS:4,OTHERS:4,TEMPO:3,JEEP:3,BUS (BMTC/KSRTC):2,FACTORY BUS:1,HGV:1,TANKER:1,TOURIST BUS:1",100.0,0.038615265281883804,331.0,1.0,10:00-12:00,98.524,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_1018,12.9718863,77.6298067,HALASUR,0,residential,3.5,0,17,"CAR:8,MOTOR CYCLE:4,SCOOTER:4,HGV:1",100.0,7.854149541620329e-05,8.5,0.043478260869565216,12:00-14:00,3.0443,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_171,13.185430604798288,77.67994768323867,CHIKKAJALA,0,residential,3.5,0,4437,"CAR:2869,MAXI-CAB:1479,LGV:23,SCOOTER:19,VAN:12,MOTOR CYCLE:11,TEMPO:8,PASSENGER AUTO:5,JEEP:3,GOODS AUTO:2,HGV:2,OTHERS:1,SCHOOL VEHICLE:1,FACTORY BUS:1,TOURIST BUS:1",100.0,0.0004657463536303624,240.5,1.0,05:00-07:00,75.2768,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_3,13.008460472703977,77.6954542260556,K.R. PURA,0,residential,3.5,0,3926,"SCOOTER:1063,CAR:966,PASSENGER AUTO:945,MOTOR CYCLE:405,LGV:210,VAN:80,GOODS AUTO:76,TEMPO:49,MAXI-CAB:34,LORRY/GOODS VEHICLE:20,JEEP:19,OTHERS:19,HGV:10,BUS (BMTC/KSRTC):9,MOPED:9,PRIVATE BUS:4,TOURIST BUS:3,MINI LORRY:3,TANKER:1,SCHOOL VEHICLE:1",100.0,0.05839897723904094,469.0,1.0,00:00-02:00,98.6162,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_15,13.006735406687646,77.57056502355101,MALLESHWARAM,0,residential,3.5,0,3813,"CAR:2159,SCOOTER:822,MOTOR CYCLE:542,PASSENGER AUTO:169,MAXI-CAB:42,JEEP:27,LGV:22,GOODS AUTO:13,VAN:4,BUS (BMTC/KSRTC):3,HGV:2,LORRY/GOODS VEHICLE:2,OTHERS:2,MOPED:2,PRIVATE BUS:1,TRACTOR:1",100.0,0.02628370418136811,229.0,1.0,08:00-10:00,97.048,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_1017,12.971197,77.6301647,HALASUR,0,residential,3.5,0,16,"CAR:9,SCOOTER:4,HGV:2,MOTOR CYCLE:1",100.0,0.0015934559196314796,7.5,0.043478260869565216,12:00-14:00,15.7749,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_798,13.0326789125,77.62406019375001,K.G. HALLI,0,residential,3.5,0,16,"CAR:14,OTHERS:1,LGV:1",100.0,0.00043789978072871486,7.5,0.043478260869565216,05:00-07:00,9.0406,RESPONSIVE,"Review geography first; if confirmed, apply: Targeted short-term patrol during peak window"
C_1000,12.9611757,77.56155975625,CHAMARAJPET,0,residential,3.5,0,16,"SCOOTER:6,CAR:5,LGV:2,HGV:1,GOODS AUTO:1,MOTOR CYCLE:1",100.0,0.015078632467106402,8.0,0.043478260869565216,03:00-05:00,37.9151,SEASONAL,"Review geography first; if confirmed, apply: Weekend/day-specific patrol during predicted peak window"
C_117,12.959073323254122,77.64559126832552,JEEVANBHEEMANAGAR,0,residential,3.5,0,458,"MAXI-CAB:238,PASSENGER AUTO:102,CAR:82,SCOOTER:20,LGV:7,MOTOR CYCLE:5,TRACTOR:1,MOPED:1,TANKER:1,GOODS AUTO:1",100.0,0.026199309145860463,54.0,0.9130434782608695,03:00-05:00,92.9889,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_83,12.993136851061603,77.55353074673509,RAJAJINAGAR,0,tertiary,4.0,0,1240,"CAR:567,MAXI-CAB:203,SCOOTER:102,PASSENGER AUTO:84,LGV:82,MOTOR CYCLE:49,TEMPO:46,GOODS AUTO:31,PRIVATE BUS:27,VAN:25,SCHOOL VEHICLE:11,JEEP:6,MOPED:4,LORRY/GOODS VEHICLE:2,OTHERS:1",100.0,0.03230953926581146,224.5,1.0,03:00-05:00,97.8782,STRUCTURAL,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review"
C_731,12.96444694151913,77.71791015956596,HAL OLD AIRPORT,0,residential,3.5,0,1751,"MAXI-CAB:542,CAR:318,SCOOTER:307,PASSENGER AUTO:287,MOTOR CYCLE:223,LGV:44,VAN:5,GOODS AUTO:5,TEMPO:4,TANKER:4,MOPED:3,JEEP:3,LORRY/GOODS VEHICLE:3,TRACTOR:1,SCHOOL VEHICLE:1,FACTORY BUS:1",100.0,0.0020830877711074973,161.0,0.782608695652174,05:00-07:00,82.0111,STRUCTURAL,Recurring patrol + towing support + signage/infra review
C_625,12.945063493181822,77.6984783931818,HAL OLD AIRPORT,0,tertiary,3.0,1,44,"CAR:34,PASSENGER AUTO:4,TEMPO:3,MOTOR CYCLE:2,LGV:1",100.0,0.10612811735469374,20.0,0.17391304347826086,03:00-05:00,88.6531,RESPONSIVE,Targeted short-term patrol during peak window
