cluster_id,total_violations,active_days,active_weeks,observation_span_days,recurrence_rate_days,week_coverage_rate,avg_violations_per_active_day,max_daily_violations,top_day_share,weekend_share,weekday_share,peak_hour,peak_hour_share,temporal_concentration_score,assigned_station,station_priority_band,cluster_quality,needs_manual_review,hotspot_type,needs_review_flag,deployment_readiness,review_reason,primary_behavior_signal,behavior_signal_strength,recommended_action,classification_confidence,m4_reason,m4_notes
C_0_1,23553,151,23,151,1.0,1.0,155.98,441,0.0187,0.3394,0.6606,9,0.1371,0.3484,UPPARPET,CRITICAL,needs_review,1,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary
C_27_0,17825,151,23,151,1.0,1.0,118.05,496,0.0278,0.4021,0.5979,10,0.2004,0.5085,SHIVAJINAGAR,CRITICAL,needs_review,1,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary
C_0_0,10667,151,23,151,1.0,1.0,70.64,223,0.0209,0.3006,0.6994,1,0.1391,0.3688,CITY MARKET,CRITICAL,needs_review,1,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary
C_22,9096,151,23,151,1.0,1.0,60.24,196,0.0215,0.3834,0.6166,10,0.1601,0.4081,MALLESHWARAM,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use
C_0_2,8323,151,23,151,1.0,1.0,55.12,204,0.0245,0.3248,0.6752,9,0.1505,0.399,UPPARPET,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use
C_333,7154,95,21,145,0.6552,0.913,75.31,341,0.0477,0.1672,0.8328,4,0.1717,0.4542,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=95, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use
C_13,6487,148,23,151,0.9801,1.0,43.83,204,0.0314,0.3041,0.6959,7,0.1651,0.4575,MALLESHWARAM,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=148, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use
C_20,5251,127,23,151,0.8411,1.0,41.35,186,0.0354,0.3009,0.6991,11,0.246,0.617,KODIGEHALLI,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=127, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use
C_14,4501,146,23,151,0.9669,1.0,30.83,232,0.0515,0.329,0.671,10,0.1471,0.3626,SHIVAJINAGAR,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=146, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_153,4474,126,22,148,0.8514,0.9565,35.51,315,0.0704,0.1781,0.8219,4,0.1605,0.3996,VIJAYANAGARA,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=126, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_171,4437,144,23,150,0.96,1.0,30.81,100,0.0225,0.3013,0.6987,5,0.1084,0.309,CHIKKAJALA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=144, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_3,3926,150,23,151,0.9934,1.0,26.17,123,0.0313,0.3291,0.6709,0,0.2389,0.4733,K.R. PURA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=150, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_15,3813,142,23,151,0.9404,1.0,26.85,116,0.0304,0.3197,0.6803,8,0.1201,0.3577,MALLESHWARAM,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=142, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_41,3198,134,23,151,0.8874,1.0,23.87,111,0.0347,0.2864,0.7136,4,0.1348,0.3671,HEBBALA,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=134, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_38,3040,136,23,151,0.9007,1.0,22.35,107,0.0352,0.3043,0.6957,10,0.1964,0.4701,HALASURU GATE,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=136, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_39,2928,146,23,151,0.9669,1.0,20.05,66,0.0225,0.3395,0.6605,10,0.1885,0.4809,MALLESHWARAM,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=146, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_327,2757,88,21,146,0.6027,0.913,31.33,197,0.0715,0.2923,0.7077,3,0.2151,0.5633,HIGH GROUND,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=88, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_4,2677,102,23,151,0.6755,1.0,26.25,116,0.0433,0.3982,0.6018,11,0.1498,0.4217,VIJAYANAGARA,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=102, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_54,2407,105,23,151,0.6954,1.0,22.92,107,0.0445,0.2862,0.7138,11,0.1953,0.5143,MAGADI ROAD,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=105, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_81,2187,136,23,150,0.9067,1.0,16.08,70,0.032,0.3374,0.6626,11,0.1216,0.305,CITY MARKET,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=136, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
