cluster_id,total_violations,active_days,active_weeks,peak_hour,peak_hour_count,peak_hour_share,top_3_hours,peak_day_name,peak_day_type,weekday_peak_hour,weekend_peak_hour,recommended_patrol_window,secondary_patrol_window,temporal_concentration_score,temporal_confidence,m3_notes
C_0_0,10667,151,23,1,1484,0.1391,"[1, 0, 9]",Sunday,WEEKDAY,0.0,1.0,01:00-03:00,00:00-02:00,0.3688,HIGH,clean
C_0_1,23553,151,23,9,3228,0.1371,"[9, 8, 1]",Saturday,WEEKDAY,9.0,9.0,09:00-11:00,08:00-10:00,0.3484,HIGH,clean
C_0_10,480,64,21,9,74,0.1542,"[9, 5, 10]",Tuesday,WEEKDAY,9.0,9.0,09:00-11:00,05:00-07:00,0.3833,HIGH,clean
C_0_11,24,14,9,7,7,0.2917,"[7, 4, 8]",Tuesday,WEEKDAY,7.0,11.0,07:00-09:00,04:00-06:00,0.625,MEDIUM,sparse data (<30 violations)
C_0_12,29,20,12,1,7,0.2414,"[1, 2, 5]",Sunday,MIXED,1.0,2.0,01:00-03:00,02:00-04:00,0.5862,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_0_13,29,11,9,5,7,0.2414,"[5, 9, 4]",Monday,WEEKDAY,9.0,5.0,05:00-07:00,09:00-11:00,0.5172,MEDIUM,sparse data (<30 violations)
C_0_14,59,19,13,10,13,0.2203,"[10, 8, 6]",Wednesday,WEEKDAY,8.0,10.0,10:00-12:00,08:00-10:00,0.6271,MEDIUM,clean
C_0_15,145,43,18,11,30,0.2069,"[11, 0, 6]",Saturday,MIXED,6.0,0.0,11:00-13:00,00:00-02:00,0.5241,HIGH,no strong weekday/weekend skew
C_0_16,24,15,11,9,5,0.2083,"[9, 11, 10]",Saturday,MIXED,9.0,11.0,09:00-11:00,11:00-13:00,0.5417,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_0_17,17,11,7,11,7,0.4118,"[11, 10, 2]",Sunday,MIXED,2.0,11.0,11:00-13:00,10:00-12:00,0.6471,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_0_18,27,13,9,7,9,0.3333,"[7, 9, 11]",Thursday,WEEKDAY,7.0,9.0,07:00-09:00,09:00-11:00,0.5926,MEDIUM,sparse data (<30 violations)
C_0_19,35,18,14,7,10,0.2857,"[7, 10, 8]",Thursday,WEEKDAY,7.0,7.0,07:00-09:00,10:00-12:00,0.6286,MEDIUM,clean
C_0_2,8323,151,23,9,1253,0.1505,"[9, 10, 8]",Sunday,WEEKDAY,9.0,10.0,09:00-11:00,10:00-12:00,0.399,HIGH,clean
C_0_20,59,20,14,9,14,0.2373,"[9, 6, 12]",Saturday,MIXED,9.0,12.0,09:00-11:00,06:00-08:00,0.5763,MEDIUM,no strong weekday/weekend skew
C_0_21,78,41,17,8,15,0.1923,"[8, 6, 7]",Sunday,WEEKDAY,8.0,6.0,08:00-10:00,06:00-08:00,0.4615,MEDIUM,clean
C_0_22,55,26,14,4,19,0.3455,"[4, 7, 10]",Tuesday,WEEKDAY,4.0,6.0,04:00-06:00,07:00-09:00,0.6,MEDIUM,clean
C_0_23,31,11,10,12,8,0.2581,"[12, 7, 11]",Sunday,MIXED,9.0,7.0,12:00-14:00,07:00-09:00,0.7097,MEDIUM,no strong weekday/weekend skew
C_0_24,40,21,15,8,10,0.25,"[8, 10, 4]",Sunday,MIXED,8.0,10.0,08:00-10:00,10:00-12:00,0.625,MEDIUM,no strong weekday/weekend skew
C_0_25,24,16,12,9,5,0.2083,"[9, 11, 1]",Thursday,WEEKDAY,9.0,2.0,09:00-11:00,11:00-13:00,0.5,MEDIUM,sparse data (<30 violations)
C_0_26,32,17,14,10,12,0.375,"[10, 8, 6]",Friday,WEEKDAY,10.0,8.0,10:00-12:00,08:00-10:00,0.75,MEDIUM,clean
C_0_27,10,6,5,6,3,0.3,"[6, 10, 3]",Wednesday,WEEKDAY,6.0,3.0,06:00-08:00,10:00-12:00,0.7,LOW,sparse data (<30 violations); few active days (<7)
C_0_28,29,12,10,7,17,0.5862,"[7, 10, 8]",Saturday,WEEKEND,8.0,7.0,07:00-09:00,10:00-12:00,0.8276,MEDIUM,sparse data (<30 violations)
C_0_29,18,6,4,3,6,0.3333,"[3, 4, 7]",Sunday,MIXED,4.0,3.0,03:00-05:00,04:00-06:00,0.6667,LOW,sparse data (<30 violations); few active days (<7); no strong weekday/weekend skew
C_0_3,899,109,22,10,132,0.1468,"[10, 9, 11]",Tuesday,WEEKDAY,10.0,7.0,10:00-12:00,09:00-11:00,0.3671,HIGH,clean
C_0_30,45,14,12,6,12,0.2667,"[6, 0, 7]",Sunday,MIXED,6.0,0.0,06:00-08:00,00:00-02:00,0.5111,MEDIUM,no strong weekday/weekend skew
C_0_31,31,11,7,7,12,0.3871,"[7, 12, 8]",Saturday,MIXED,8.0,7.0,07:00-09:00,12:00-14:00,0.8065,MEDIUM,no strong weekday/weekend skew
C_0_32,14,3,3,7,11,0.7857,"[7, 2, 4]",Tuesday,WEEKDAY,7.0,11.0,07:00-09:00,02:00-04:00,0.9286,LOW,sparse data (<30 violations); few active days (<7)
C_0_33,139,21,12,8,23,0.1655,"[8, 11, 10]",Saturday,MIXED,3.0,10.0,08:00-10:00,11:00-13:00,0.4748,HIGH,no strong weekday/weekend skew
C_0_34,11,8,8,8,5,0.4545,"[8, 6, 9]",Wednesday,WEEKDAY,8.0,,08:00-10:00,06:00-08:00,0.8182,MEDIUM,sparse data (<30 violations)
C_0_35,14,8,7,6,4,0.2857,"[6, 10, 7]",Monday,WEEKDAY,6.0,,06:00-08:00,10:00-12:00,0.7857,MEDIUM,sparse data (<30 violations)
C_0_36,12,4,3,7,7,0.5833,"[7, 11, 12]",Saturday,MIXED,11.0,7.0,07:00-09:00,11:00-13:00,1.0,LOW,sparse data (<30 violations); few active days (<7); no strong weekday/weekend skew
C_0_37,15,5,4,12,8,0.5333,"[12, 14, 5]",Monday,WEEKDAY,12.0,9.0,12:00-14:00,14:00-16:00,0.7333,LOW,sparse data (<30 violations); few active days (<7)
C_0_38,42,20,10,9,8,0.1905,"[9, 7, 8]",Tuesday,WEEKDAY,9.0,4.0,09:00-11:00,07:00-09:00,0.5238,MEDIUM,clean
C_0_39,46,20,13,4,17,0.3696,"[4, 13, 9]",Wednesday,WEEKDAY,4.0,4.0,04:00-06:00,13:00-15:00,0.6957,MEDIUM,clean
C_0_4,1009,117,22,8,141,0.1397,"[8, 10, 9]",Saturday,MIXED,8.0,8.0,08:00-10:00,10:00-12:00,0.3766,HIGH,no strong weekday/weekend skew
C_0_40,17,6,6,12,10,0.5882,"[12, 6, 8]",Sunday,MIXED,12.0,12.0,12:00-14:00,06:00-08:00,0.8235,LOW,sparse data (<30 violations); few active days (<7); no strong weekday/weekend skew
C_0_41,18,9,8,1,7,0.3889,"[1, 2, 7]",Monday,MIXED,1.0,2.0,01:00-03:00,02:00-04:00,0.8889,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_0_42,21,10,8,8,11,0.5238,"[8, 10, 9]",Thursday,WEEKDAY,8.0,9.0,08:00-10:00,10:00-12:00,0.9048,MEDIUM,sparse data (<30 violations)
C_0_43,11,9,8,10,3,0.2727,"[10, 9, 3]",Saturday,WEEKDAY,10.0,9.0,10:00-12:00,09:00-11:00,0.7273,MEDIUM,sparse data (<30 violations)
C_0_44,11,4,3,9,7,0.6364,"[9, 12, 4]",Saturday,WEEKEND,12.0,9.0,09:00-11:00,12:00-14:00,0.9091,LOW,sparse data (<30 violations); few active days (<7)
C_0_45,14,5,3,7,7,0.5,"[7, 6, 5]",Tuesday,MIXED,6.0,7.0,07:00-09:00,06:00-08:00,0.8571,LOW,sparse data (<30 violations); few active days (<7); no strong weekday/weekend skew
C_0_46,3,2,2,11,2,0.6667,"[11, 9]",Wednesday,WEEKDAY,11.0,9.0,11:00-13:00,09:00-11:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_0_47,11,9,7,0,2,0.1818,"[0, 1, 7]",Saturday,MIXED,0.0,7.0,00:00-02:00,01:00-03:00,0.5455,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_0_48,10,5,4,4,4,0.4,"[4, 6, 10]",Tuesday,WEEKDAY,4.0,5.0,04:00-06:00,06:00-08:00,0.8,LOW,sparse data (<30 violations); few active days (<7)
C_0_49,13,3,2,8,5,0.3846,"[8, 12, 10]",Thursday,WEEKDAY,8.0,,08:00-10:00,12:00-14:00,0.8462,LOW,sparse data (<30 violations); few active days (<7)
C_0_5,2030,135,23,9,207,0.102,"[9, 11, 5]",Sunday,WEEKDAY,12.0,9.0,09:00-11:00,11:00-13:00,0.2842,HIGH,clean
C_0_50,19,6,4,23,6,0.3158,"[23, 1, 10]",Monday,WEEKDAY,23.0,0.0,23:00-01:00,01:00-03:00,0.7368,LOW,sparse data (<30 violations); few active days (<7)
C_0_51,23,15,12,4,6,0.2609,"[4, 5, 8]",Thursday,WEEKDAY,4.0,8.0,04:00-06:00,05:00-07:00,0.6957,MEDIUM,sparse data (<30 violations)
C_0_52,11,2,2,6,6,0.5455,"[6, 8, 5]",Friday,WEEKDAY,6.0,,06:00-08:00,08:00-10:00,0.9091,LOW,sparse data (<30 violations); few active days (<7)
C_0_53,11,1,1,5,11,1.0,[5],Thursday,WEEKDAY,5.0,,05:00-07:00,,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_0_54,14,1,1,1,13,0.9286,"[1, 0]",Monday,WEEKDAY,1.0,,01:00-03:00,00:00-02:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
