cluster_id,centroid_lat,centroid_lng,violation_count,unique_vehicle_types,dominant_vehicle_type,vehicle_mix,vehicle_mix_json,police_station_mode,location_mode,junction_name_mode,junction_flag_rate,has_junction_name_rate,first_seen_ist,last_seen_ist,active_days,active_weeks,peak_hour_basic,peak_day_basic,h3_cells_count,cluster_quality,needs_manual_review
C_0_1,12.977403717768698,77.5773298318895,23553,20,CAR,"CAR:8458,SCOOTER:7642,MOTOR CYCLE:2872,PASSENGER AUTO:2364,MAXI-CAB:634,LGV:501,MOPED:235,PRIVATE BUS:206,GOODS AUTO:188,VAN:137,JEEP:131,OTHERS:67,TEMPO:41,HGV:31,TOURIST BUS:21,LORRY/GOODS VEHICLE:10,MINI LORRY:5,SCHOOL VEHICLE:4,TANKER:4,TRACTOR:2","{""CAR"": 8458, ""SCOOTER"": 7642, ""MOTOR CYCLE"": 2872, ""PASSENGER AUTO"": 2364, ""MAXI-CAB"": 634, ""LGV"": 501, ""MOPED"": 235, ""PRIVATE BUS"": 206, ""GOODS AUTO"": 188, ""VAN"": 137, ""JEEP"": 131, ""OTHERS"": 67, ""TEMPO"": 41, ""HGV"": 31, ""TOURIST BUS"": 21, ""LORRY/GOODS VEHICLE"": 10, ""MINI LORRY"": 5, ""SCHOOL VEHICLE"": 4, ""TANKER"": 4, ""TRACTOR"": 2}",UPPARPET,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",BTP040 - Elite Junction,0.0002,0.9969,2023-11-10 05:13:46+05:30,2024-04-08 14:02:46+05:30,151,23,9,Saturday,8,needs_review,1
C_27_0,12.981531893107459,77.60912767442262,17825,19,SCOOTER,"SCOOTER:6231,PASSENGER AUTO:5344,CAR:3743,MOTOR CYCLE:1880,MAXI-CAB:241,LGV:162,GOODS AUTO:62,MOPED:55,VAN:23,TEMPO:22,JEEP:21,OTHERS:12,LORRY/GOODS VEHICLE:11,PRIVATE BUS:8,HGV:4,MINI LORRY:3,SCHOOL VEHICLE:1,TANKER:1,TOURIST BUS:1","{""SCOOTER"": 6231, ""PASSENGER AUTO"": 5344, ""CAR"": 3743, ""MOTOR CYCLE"": 1880, ""MAXI-CAB"": 241, ""LGV"": 162, ""GOODS AUTO"": 62, ""MOPED"": 55, ""VAN"": 23, ""TEMPO"": 22, ""JEEP"": 21, ""OTHERS"": 12, ""LORRY/GOODS VEHICLE"": 11, ""PRIVATE BUS"": 8, ""HGV"": 4, ""MINI LORRY"": 3, ""SCHOOL VEHICLE"": 1, ""TANKER"": 1, ""TOURIST BUS"": 1}",SHIVAJINAGAR,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",BTP051 - Safina Plaza Junction,0.0059,0.8194,2023-11-10 07:40:46+05:30,2024-04-08 14:01:46+05:30,151,23,10,Sunday,9,needs_review,1
C_0_0,12.964367388811535,77.57670425797563,10667,18,SCOOTER,"SCOOTER:4296,PASSENGER AUTO:2209,CAR:1739,MOTOR CYCLE:1023,LGV:808,GOODS AUTO:237,VAN:159,MAXI-CAB:63,MOPED:36,JEEP:25,PRIVATE BUS:18,HGV:17,TEMPO:14,LORRY/GOODS VEHICLE:11,OTHERS:6,SCHOOL VEHICLE:2,MINI LORRY:2,TOURIST BUS:2","{""SCOOTER"": 4296, ""PASSENGER AUTO"": 2209, ""CAR"": 1739, ""MOTOR CYCLE"": 1023, ""LGV"": 808, ""GOODS AUTO"": 237, ""VAN"": 159, ""MAXI-CAB"": 63, ""MOPED"": 36, ""JEEP"": 25, ""PRIVATE BUS"": 18, ""HGV"": 17, ""TEMPO"": 14, ""LORRY/GOODS VEHICLE"": 11, ""OTHERS"": 6, ""SCHOOL VEHICLE"": 2, ""MINI LORRY"": 2, ""TOURIST BUS"": 2}",CITY MARKET,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",BTP082 - KR Market Junction,0.001,1.0,2023-11-10 00:45:46+05:30,2024-04-08 23:00:46+05:30,151,23,1,Sunday,7,needs_review,1
C_22,13.01057176756816,77.55388194226035,9096,20,CAR,"CAR:4008,SCOOTER:1793,PASSENGER AUTO:1641,MOTOR CYCLE:942,MAXI-CAB:450,JEEP:51,LGV:49,TANKER:43,GOODS AUTO:24,VAN:23,LORRY/GOODS VEHICLE:20,MOPED:10,TEMPO:9,OTHERS:7,HGV:7,PRIVATE BUS:6,TOURIST BUS:5,MINI LORRY:4,BUS (BMTC/KSRTC):3,SCHOOL VEHICLE:1","{""CAR"": 4008, ""SCOOTER"": 1793, ""PASSENGER AUTO"": 1641, ""MOTOR CYCLE"": 942, ""MAXI-CAB"": 450, ""JEEP"": 51, ""LGV"": 49, ""TANKER"": 43, ""GOODS AUTO"": 24, ""VAN"": 23, ""LORRY/GOODS VEHICLE"": 20, ""MOPED"": 10, ""TEMPO"": 9, ""OTHERS"": 7, ""HGV"": 7, ""PRIVATE BUS"": 6, ""TOURIST BUS"": 5, ""MINI LORRY"": 4, ""BUS (BMTC/KSRTC)"": 3, ""SCHOOL VEHICLE"": 1}",MALLESHWARAM,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",No Junction,0.0009,0.3469,2023-11-10 06:13:46+05:30,2024-04-08 18:26:46+05:30,151,23,10,Sunday,8,good,1
C_0_2,12.972446979126678,77.57808809665825,8323,19,SCOOTER,"SCOOTER:3588,MOTOR CYCLE:1310,CAR:1255,PASSENGER AUTO:1129,LGV:486,MOPED:195,GOODS AUTO:143,MAXI-CAB:101,VAN:25,JEEP:25,OTHERS:19,HGV:17,TEMPO:10,LORRY/GOODS VEHICLE:8,PRIVATE BUS:6,SCHOOL VEHICLE:2,MINI LORRY:2,TRACTOR:1,TANKER:1","{""SCOOTER"": 3588, ""MOTOR CYCLE"": 1310, ""CAR"": 1255, ""PASSENGER AUTO"": 1129, ""LGV"": 486, ""MOPED"": 195, ""GOODS AUTO"": 143, ""MAXI-CAB"": 101, ""VAN"": 25, ""JEEP"": 25, ""OTHERS"": 19, ""HGV"": 17, ""TEMPO"": 10, ""LORRY/GOODS VEHICLE"": 8, ""PRIVATE BUS"": 6, ""SCHOOL VEHICLE"": 2, ""MINI LORRY"": 2, ""TRACTOR"": 1, ""TANKER"": 1}",UPPARPET,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",BTP044 - Sagar Theatre Junction,0.0,0.8931,2023-11-10 05:14:46+05:30,2024-04-08 10:43:46+05:30,151,23,9,Sunday,5,good,1
C_333,12.93367012638579,77.69094295702138,7154,20,SCOOTER,"SCOOTER:3985,MOTOR CYCLE:2182,CAR:429,MOPED:162,MAXI-CAB:146,PASSENGER AUTO:105,BUS (BMTC/KSRTC):47,JEEP:23,LGV:19,PRIVATE BUS:17,GOODS AUTO:10,TEMPO:8,TOURIST BUS:8,OTHERS:5,HGV:2,LORRY/GOODS VEHICLE:2,MINI LORRY:1,TANKER:1,VAN:1,FACTORY BUS:1","{""SCOOTER"": 3985, ""MOTOR CYCLE"": 2182, ""CAR"": 429, ""MOPED"": 162, ""MAXI-CAB"": 146, ""PASSENGER AUTO"": 105, ""BUS (BMTC/KSRTC)"": 47, ""JEEP"": 23, ""LGV"": 19, ""PRIVATE BUS"": 17, ""GOODS AUTO"": 10, ""TEMPO"": 8, ""TOURIST BUS"": 8, ""OTHERS"": 5, ""HGV"": 2, ""LORRY/GOODS VEHICLE"": 2, ""MINI LORRY"": 1, ""TANKER"": 1, ""VAN"": 1, ""FACTORY BUS"": 1}",HAL OLD AIRPORT,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",No Junction,0.0059,0.0,2023-11-14 07:47:46+05:30,2024-04-06 10:47:46+05:30,95,21,4,Tuesday,4,good,1
C_13,12.999706963699936,77.55037343141102,6487,16,SCOOTER,"SCOOTER:2765,CAR:2025,MOTOR CYCLE:1116,MOPED:252,PASSENGER AUTO:200,MAXI-CAB:34,LGV:22,JEEP:19,GOODS AUTO:16,OTHERS:14,VAN:6,TEMPO:6,BUS (BMTC/KSRTC):4,LORRY/GOODS VEHICLE:4,HGV:3,SCHOOL VEHICLE:1","{""SCOOTER"": 2765, ""CAR"": 2025, ""MOTOR CYCLE"": 1116, ""MOPED"": 252, ""PASSENGER AUTO"": 200, ""MAXI-CAB"": 34, ""LGV"": 22, ""JEEP"": 19, ""GOODS AUTO"": 16, ""OTHERS"": 14, ""VAN"": 6, ""TEMPO"": 6, ""BUS (BMTC/KSRTC)"": 4, ""LORRY/GOODS VEHICLE"": 4, ""HGV"": 3, ""SCHOOL VEHICLE"": 1}",MALLESHWARAM,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",BTP027 - Modi Bridge Junction,0.0012,1.0,2023-11-10 04:19:46+05:30,2024-04-08 10:31:46+05:30,148,23,7,Sunday,7,good,1
C_20,13.071058777450718,77.58793572473624,5251,11,SCOOTER,"SCOOTER:3185,MOTOR CYCLE:1516,CAR:476,PASSENGER AUTO:46,LGV:7,MAXI-CAB:6,VAN:5,MOPED:4,LORRY/GOODS VEHICLE:3,JEEP:2,TEMPO:1","{""SCOOTER"": 3185, ""MOTOR CYCLE"": 1516, ""CAR"": 476, ""PASSENGER AUTO"": 46, ""LGV"": 7, ""MAXI-CAB"": 6, ""VAN"": 5, ""MOPED"": 4, ""LORRY/GOODS VEHICLE"": 3, ""JEEP"": 2, ""TEMPO"": 1}",KODIGEHALLI,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",No Junction,0.0004,0.0,2023-11-10 05:55:46+05:30,2024-04-08 11:25:46+05:30,127,23,11,Monday,4,good,1
C_14,12.983488878473665,77.60328934115961,4501,19,PASSENGER AUTO,"PASSENGER AUTO:2852,CAR:675,SCOOTER:602,MOTOR CYCLE:171,MAXI-CAB:66,LGV:65,GOODS AUTO:26,VAN:12,LORRY/GOODS VEHICLE:8,MOPED:4,PRIVATE BUS:4,OTHERS:4,TEMPO:3,JEEP:3,BUS (BMTC/KSRTC):2,FACTORY BUS:1,HGV:1,TANKER:1,TOURIST BUS:1","{""PASSENGER AUTO"": 2852, ""CAR"": 675, ""SCOOTER"": 602, ""MOTOR CYCLE"": 171, ""MAXI-CAB"": 66, ""LGV"": 65, ""GOODS AUTO"": 26, ""VAN"": 12, ""LORRY/GOODS VEHICLE"": 8, ""MOPED"": 4, ""PRIVATE BUS"": 4, ""OTHERS"": 4, ""TEMPO"": 3, ""JEEP"": 3, ""BUS (BMTC/KSRTC)"": 2, ""FACTORY BUS"": 1, ""HGV"": 1, ""TANKER"": 1, ""TOURIST BUS"": 1}",SHIVAJINAGAR,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",BTP211 - Central Street Junction,0.0033,1.0,2023-11-10 04:46:46+05:30,2024-04-08 12:37:46+05:30,146,23,10,Sunday,6,good,1
C_153,12.974362039318262,77.54563971689441,4474,14,SCOOTER,"SCOOTER:2863,MOTOR CYCLE:1339,CAR:201,PASSENGER AUTO:40,LGV:8,OTHERS:4,MAXI-CAB:3,MOPED:3,VAN:3,TEMPO:3,LORRY/GOODS VEHICLE:2,JEEP:2,MINI LORRY:2,SCHOOL VEHICLE:1","{""SCOOTER"": 2863, ""MOTOR CYCLE"": 1339, ""CAR"": 201, ""PASSENGER AUTO"": 40, ""LGV"": 8, ""OTHERS"": 4, ""MAXI-CAB"": 3, ""MOPED"": 3, ""VAN"": 3, ""TEMPO"": 3, ""LORRY/GOODS VEHICLE"": 2, ""JEEP"": 2, ""MINI LORRY"": 2, ""SCHOOL VEHICLE"": 1}",VIJAYANAGARA,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",BTP020 - Hosahalli Metro Station,0.0013,1.0,2023-11-11 10:26:46+05:30,2024-04-06 03:10:46+05:30,126,22,4,Tuesday,2,good,1
