cluster_id,assigned_station,station_assignment_method,station_assignment_confidence,station_cluster_rank,station_violation_rank,station_priority_band,is_top_station_hotspot,station_total_clusters,station_total_violations,station_needs_review_clusters,station_good_clusters,station_medium_clusters,cluster_violation_share_within_station,jurisdiction_notes,violation_count,centroid_lat,centroid_lng,police_station_mode,cluster_quality,needs_manual_review,dominant_vehicle_type,junction_flag_rate,location_mode
C_0_1,UPPARPET,police_station_mode,MEDIUM,1,1,CRITICAL,1,33,36360,22,5,21,0.6478,cluster flagged for review; cluster quality: needs_review; dominates station (65% of station violations),23553,12.977403717768697,77.5773298318895,UPPARPET,needs_review,1,CAR,0.0002,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
C_27_0,SHIVAJINAGAR,police_station_mode,MEDIUM,1,1,CRITICAL,1,35,27458,21,9,24,0.6492,cluster flagged for review; cluster quality: needs_review; dominates station (65% of station violations),17825,12.981531893107459,77.60912767442262,SHIVAJINAGAR,needs_review,1,SCOOTER,0.0059,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
C_0_0,CITY MARKET,police_station_mode,MEDIUM,1,1,CRITICAL,1,36,15655,21,7,25,0.6814,cluster flagged for review; cluster quality: needs_review; dominates station (68% of station violations),10667,12.964367388811535,77.57670425797563,CITY MARKET,needs_review,1,SCOOTER,0.001,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)"
C_22,MALLESHWARAM,police_station_mode,MEDIUM,1,1,CRITICAL,1,28,24086,21,9,19,0.3776,cluster flagged for review; dominates station (38% of station violations),9096,13.010571767568162,77.55388194226033,MALLESHWARAM,good,1,CAR,0.0009,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
C_0_2,UPPARPET,police_station_mode,MEDIUM,2,2,CRITICAL,1,33,36360,22,5,21,0.2289,cluster flagged for review,8323,12.972446979126678,77.57808809665825,UPPARPET,good,1,SCOOTER,0.0,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
C_333,HAL OLD AIRPORT,police_station_mode,MEDIUM,1,1,CRITICAL,1,51,19446,22,17,32,0.3679,cluster flagged for review; dominates station (37% of station violations),7154,12.93367012638579,77.69094295702138,HAL OLD AIRPORT,good,1,SCOOTER,0.0059,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
C_13,MALLESHWARAM,police_station_mode,MEDIUM,2,2,CRITICAL,1,28,24086,21,9,19,0.2693,cluster flagged for review,6487,12.999706963699936,77.55037343141102,MALLESHWARAM,good,1,SCOOTER,0.0012,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
C_20,KODIGEHALLI,police_station_mode,MEDIUM,1,1,HIGH,1,33,8738,15,10,21,0.6009,cluster flagged for review; dominates station (60% of station violations),5251,13.071058777450718,77.58793572473624,KODIGEHALLI,good,1,SCOOTER,0.0004,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
C_14,SHIVAJINAGAR,police_station_mode,MEDIUM,2,2,CRITICAL,1,35,27458,21,9,24,0.1639,cluster flagged for review,4501,12.983488878473665,77.60328934115961,SHIVAJINAGAR,good,1,PASSENGER AUTO,0.0033,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
C_153,VIJAYANAGARA,police_station_mode,MEDIUM,1,1,CRITICAL,1,33,14536,21,16,17,0.3078,cluster flagged for review; dominates station (31% of station violations),4474,12.974362039318262,77.54563971689441,VIJAYANAGARA,good,1,SCOOTER,0.0013,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
C_171,CHIKKAJALA,police_station_mode,MEDIUM,1,1,HIGH,1,17,6107,9,3,14,0.7265,cluster flagged for review; dominates station (73% of station violations),4437,13.185430604798288,77.67994768323867,CHIKKAJALA,good,1,CAR,0.0153,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
C_3,K.R. PURA,police_station_mode,MEDIUM,1,1,HIGH,1,14,5830,11,4,10,0.6734,cluster flagged for review; dominates station (67% of station violations),3926,13.008460472703977,77.6954542260556,K.R. PURA,good,1,SCOOTER,0.0003,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
C_15,MALLESHWARAM,police_station_mode,MEDIUM,3,3,CRITICAL,1,28,24086,21,9,19,0.1583,cluster flagged for review,3813,13.006735406687646,77.57056502355101,MALLESHWARAM,good,1,CAR,0.0,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
C_41,HEBBALA,police_station_mode,MEDIUM,1,1,MEDIUM,1,10,3705,4,3,7,0.8632,cluster flagged for review; dominates station (86% of station violations),3198,13.035301123433317,77.58902437439944,HEBBALA,good,1,SCOOTER,0.0,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
C_38,HALASURU GATE,police_station_mode,MEDIUM,1,1,HIGH,1,31,4524,18,4,23,0.672,cluster flagged for review; dominates station (67% of station violations),3040,12.964581681315789,77.58389828970395,HALASURU GATE,good,1,SCOOTER,0.0,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
C_39,MALLESHWARAM,police_station_mode,MEDIUM,4,4,CRITICAL,1,28,24086,21,9,19,0.1216,cluster flagged for review,2928,12.998021466657063,77.57135840260051,MALLESHWARAM,good,1,CAR,0.0,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
C_327,HIGH GROUND,police_station_mode,MEDIUM,1,1,MEDIUM,1,19,4200,13,6,11,0.6564,cluster flagged for review; dominates station (66% of station violations),2757,12.992656984457891,77.58887485785311,HIGH GROUND,good,1,SCOOTER,0.0,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
C_4,VIJAYANAGARA,police_station_mode,MEDIUM,2,2,CRITICAL,1,33,14536,21,16,17,0.1842,cluster flagged for review,2677,12.965154722523119,77.53811533358993,VIJAYANAGARA,good,1,SCOOTER,0.0,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
C_54,MAGADI ROAD,police_station_mode,MEDIUM,1,1,HIGH,1,40,7483,22,10,30,0.3217,cluster flagged for review; dominates station (32% of station violations),2407,12.973571379808892,77.55113007823016,MAGADI ROAD,good,1,SCOOTER,0.0004,"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
C_81,CITY MARKET,police_station_mode,MEDIUM,2,2,CRITICAL,1,36,15655,21,7,25,0.1397,cluster flagged for review,2187,12.959679943667124,77.57706802153636,CITY MARKET,good,1,SCOOTER,0.0,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)"
C_21,VIJAYANAGARA,police_station_mode,MEDIUM,3,3,CRITICAL,1,33,14536,21,16,17,0.1441,cluster flagged for review,2094,12.997506222949298,77.54862164315576,VIJAYANAGARA,good,1,SCOOTER,0.0,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
C_0_5,UPPARPET,police_station_mode,MEDIUM,3,3,CRITICAL,1,33,36360,22,5,21,0.0558,cluster flagged for review,2030,12.978037567044334,77.57382984448274,UPPARPET,good,1,CAR,0.0,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
C_173,ELECTRONIC CITY,police_station_mode,MEDIUM,1,1,MEDIUM,1,22,3309,11,6,15,0.592,cluster flagged for review; dominates station (59% of station violations),1959,12.84190787359102,77.6458057678966,ELECTRONIC CITY,good,1,SCOOTER,0.0005,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)"
C_5,SHIVAJINAGAR,police_station_mode,MEDIUM,3,3,CRITICAL,1,35,27458,21,9,24,0.0703,cluster flagged for review,1929,12.981296485329187,77.59855271627787,SHIVAJINAGAR,good,1,SCOOTER,0.0,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
C_12,BASAVANAGUDI,police_station_mode,MEDIUM,1,1,MEDIUM,1,16,3150,11,6,10,0.6032,cluster flagged for review; dominates station (60% of station violations),1900,12.944050367517546,77.57112433112003,BASAVANAGUDI,good,1,SCOOTER,0.0,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
C_199,MAHADEVAPURA,police_station_mode,MEDIUM,1,1,HIGH,1,20,6005,12,5,14,0.3121,cluster flagged for review; dominates station (31% of station violations),1874,13.000381902767533,77.67707014276532,MAHADEVAPURA,good,1,PASSENGER AUTO,0.0443,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
C_149,MAHADEVAPURA,police_station_mode,MEDIUM,2,2,HIGH,1,20,6005,12,5,14,0.3009,cluster flagged for review; dominates station (30% of station violations),1807,12.996271345660729,77.66861135342928,MAHADEVAPURA,good,1,PASSENGER AUTO,0.0133,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
C_731,HAL OLD AIRPORT,police_station_mode,HIGH,2,2,CRITICAL,1,51,19446,22,17,32,0.09,clean,1751,12.96444694151913,77.71791015956596,HAL OLD AIRPORT,good,0,MAXI-CAB,0.0,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)"
C_34,MAGADI ROAD,police_station_mode,MEDIUM,2,2,HIGH,1,40,7483,22,10,30,0.2205,cluster flagged for review,1650,12.975720058669054,77.55985434794881,MAGADI ROAD,good,1,SCOOTER,0.0018,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)"
C_18,BYATARAYANAPURA,police_station_mode,MEDIUM,1,1,MEDIUM,1,16,3703,8,7,9,0.4326,cluster flagged for review; dominates station (43% of station violations),1602,12.953188297988932,77.54227954868416,BYATARAYANAPURA,good,1,SCOOTER,0.0087,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)"
C_7,HAL OLD AIRPORT,police_station_mode,MEDIUM,3,3,CRITICAL,1,51,19446,22,17,32,0.0781,cluster flagged for review,1519,12.95738945726518,77.70158666959101,HAL OLD AIRPORT,good,1,SCOOTER,0.0033,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
C_91,CHAMARAJPET,police_station_mode,MEDIUM,1,1,MEDIUM,1,11,2881,10,2,7,0.5186,cluster flagged for review; dominates station (52% of station violations),1494,12.977113815241038,77.57076443579726,CHAMARAJPET,good,1,PASSENGER AUTO,0.0007,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)"
C_298,HAL OLD AIRPORT,police_station_mode,MEDIUM,4,4,CRITICAL,1,51,19446,22,17,32,0.0725,cluster flagged for review,1409,12.939723953634788,77.69555414042463,HAL OLD AIRPORT,good,1,CAR,0.0028,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
C_60,K.R. PURA,police_station_mode,MEDIUM,2,2,HIGH,1,14,5830,11,4,10,0.2189,cluster flagged for review,1276,13.00568279951441,77.68577535574424,K.R. PURA,good,1,CAR,0.0,"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)"
C_58,MAHADEVAPURA,police_station_mode,MEDIUM,3,3,HIGH,1,20,6005,12,5,14,0.2087,cluster flagged for review,1253,12.995527034089028,77.69576493723162,MAHADEVAPURA,good,1,PASSENGER AUTO,0.0654,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)"
C_83,RAJAJINAGAR,police_station_mode,MEDIUM,1,1,HIGH,1,46,6236,30,12,32,0.1988,cluster flagged for review,1240,12.993136851061603,77.55353074673509,RAJAJINAGAR,good,1,CAR,0.0008,"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
