cluster_id,centroid_lat,centroid_lng,violation_count,unique_vehicle_types,dominant_vehicle_type,vehicle_mix,police_station_mode,location_mode,junction_name_mode,junction_flag_rate,has_junction_name_rate,first_seen_ist,last_seen_ist,active_days,active_weeks,peak_hour_basic,peak_day_basic,h3_cells_count,cluster_quality,needs_manual_review,peak_hour,peak_hour_count,peak_hour_share,top_3_hours,peak_day_name,peak_day_type,weekday_peak_hour,weekend_peak_hour,recommended_patrol_window,secondary_patrol_window,temporal_concentration_score,temporal_confidence,m3_notes,assigned_station,station_assignment_method,station_assignment_confidence,station_cluster_rank,station_violation_rank,station_priority_band,is_top_station_hotspot,station_total_clusters,station_total_violations,station_needs_review_clusters,station_good_clusters,station_medium_clusters,cluster_violation_share_within_station,jurisdiction_notes,observation_span_days,recurrence_rate_days,week_coverage_rate,avg_violations_per_active_day,max_daily_violations,top_day_share,weekend_share,weekday_share,hotspot_type,needs_review_flag,deployment_readiness,review_reason,primary_behavior_signal,behavior_signal_strength,recommended_action,classification_confidence,m4_reason,m4_notes,handoff_ready,handoff_warning,prakhar_feature_version,downstream_join_key
C_0_1,12.977403717768698,77.5773298318895,23553,20,CAR,"CAR:8458,SCOOTER:7642,MOTOR CYCLE:2872,PASSENGER AUTO:2364,MAXI-CAB:634,LGV:501,MOPED:235,PRIVATE BUS:206,GOODS AUTO:188,VAN:137,JEEP:131,OTHERS:67,TEMPO:41,HGV:31,TOURIST BUS:21,LORRY/GOODS VEHICLE:10,MINI LORRY:5,SCHOOL VEHICLE:4,TANKER:4,TRACTOR:2",UPPARPET,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",BTP040 - Elite Junction,0.0002,0.9969,2023-11-10 05:13:46+05:30,2024-04-08 14:02:46+05:30,151,23,9,Saturday,8,needs_review,1,9,3228,0.1371,"[9, 8, 1]",Saturday,WEEKDAY,9.0,9.0,09:00-11:00,08:00-10:00,0.3484,HIGH,clean,UPPARPET,police_station_mode,MEDIUM,1,1,CRITICAL,1,33,36360,22,5,21,0.6478,cluster flagged for review; cluster quality: needs_review; dominates station (65% of station violations),151,1.0,1.0,155.98,441,0.0187,0.3394,0.6606,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_0_1
C_27_0,12.981531893107459,77.60912767442262,17825,19,SCOOTER,"SCOOTER:6231,PASSENGER AUTO:5344,CAR:3743,MOTOR CYCLE:1880,MAXI-CAB:241,LGV:162,GOODS AUTO:62,MOPED:55,VAN:23,TEMPO:22,JEEP:21,OTHERS:12,LORRY/GOODS VEHICLE:11,PRIVATE BUS:8,HGV:4,MINI LORRY:3,SCHOOL VEHICLE:1,TANKER:1,TOURIST BUS:1",SHIVAJINAGAR,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",BTP051 - Safina Plaza Junction,0.0059,0.8194,2023-11-10 07:40:46+05:30,2024-04-08 14:01:46+05:30,151,23,10,Sunday,9,needs_review,1,10,3572,0.2004,"[10, 11, 9]",Sunday,MIXED,10.0,10.0,10:00-12:00,11:00-13:00,0.5085,HIGH,no strong weekday/weekend skew,SHIVAJINAGAR,police_station_mode,MEDIUM,1,1,CRITICAL,1,35,27458,21,9,24,0.6492,cluster flagged for review; cluster quality: needs_review; dominates station (65% of station violations),151,1.0,1.0,118.05,496,0.0278,0.4021,0.5979,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_27_0
C_0_0,12.964367388811535,77.57670425797563,10667,18,SCOOTER,"SCOOTER:4296,PASSENGER AUTO:2209,CAR:1739,MOTOR CYCLE:1023,LGV:808,GOODS AUTO:237,VAN:159,MAXI-CAB:63,MOPED:36,JEEP:25,PRIVATE BUS:18,HGV:17,TEMPO:14,LORRY/GOODS VEHICLE:11,OTHERS:6,SCHOOL VEHICLE:2,MINI LORRY:2,TOURIST BUS:2",CITY MARKET,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",BTP082 - KR Market Junction,0.001,1.0,2023-11-10 00:45:46+05:30,2024-04-08 23:00:46+05:30,151,23,1,Sunday,7,needs_review,1,1,1484,0.1391,"[1, 0, 9]",Sunday,WEEKDAY,0.0,1.0,01:00-03:00,00:00-02:00,0.3688,HIGH,clean,CITY MARKET,police_station_mode,MEDIUM,1,1,CRITICAL,1,36,15655,21,7,25,0.6814,cluster flagged for review; cluster quality: needs_review; dominates station (68% of station violations),151,1.0,1.0,70.64,223,0.0209,0.3006,0.6994,STRUCTURAL,1,REVIEW_FIRST,Cluster quality marked needs_review; verify exact hotspot boundary,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Cluster quality marked needs_review; verify exact hotspot boundary,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_0_0
C_22,13.01057176756816,77.55388194226035,9096,20,CAR,"CAR:4008,SCOOTER:1793,PASSENGER AUTO:1641,MOTOR CYCLE:942,MAXI-CAB:450,JEEP:51,LGV:49,TANKER:43,GOODS AUTO:24,VAN:23,LORRY/GOODS VEHICLE:20,MOPED:10,TEMPO:9,OTHERS:7,HGV:7,PRIVATE BUS:6,TOURIST BUS:5,MINI LORRY:4,BUS (BMTC/KSRTC):3,SCHOOL VEHICLE:1",MALLESHWARAM,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",No Junction,0.0009,0.3469,2023-11-10 06:13:46+05:30,2024-04-08 18:26:46+05:30,151,23,10,Sunday,8,good,1,10,1456,0.1601,"[10, 9, 8]",Sunday,MIXED,10.0,10.0,10:00-12:00,09:00-11:00,0.4081,HIGH,no strong weekday/weekend skew,MALLESHWARAM,police_station_mode,MEDIUM,1,1,CRITICAL,1,28,24086,21,9,19,0.3776,cluster flagged for review; dominates station (38% of station violations),151,1.0,1.0,60.24,196,0.0215,0.3834,0.6166,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_22
C_0_2,12.972446979126678,77.57808809665825,8323,19,SCOOTER,"SCOOTER:3588,MOTOR CYCLE:1310,CAR:1255,PASSENGER AUTO:1129,LGV:486,MOPED:195,GOODS AUTO:143,MAXI-CAB:101,VAN:25,JEEP:25,OTHERS:19,HGV:17,TEMPO:10,LORRY/GOODS VEHICLE:8,PRIVATE BUS:6,SCHOOL VEHICLE:2,MINI LORRY:2,TRACTOR:1,TANKER:1",UPPARPET,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",BTP044 - Sagar Theatre Junction,0.0,0.8931,2023-11-10 05:14:46+05:30,2024-04-08 10:43:46+05:30,151,23,9,Sunday,5,good,1,9,1253,0.1505,"[9, 10, 8]",Sunday,WEEKDAY,9.0,10.0,09:00-11:00,10:00-12:00,0.399,HIGH,clean,UPPARPET,police_station_mode,MEDIUM,2,2,CRITICAL,1,33,36360,22,5,21,0.2289,cluster flagged for review,151,1.0,1.0,55.12,204,0.0245,0.3248,0.6752,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=151, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_0_2
C_333,12.93367012638579,77.69094295702138,7154,20,SCOOTER,"SCOOTER:3985,MOTOR CYCLE:2182,CAR:429,MOPED:162,MAXI-CAB:146,PASSENGER AUTO:105,BUS (BMTC/KSRTC):47,JEEP:23,LGV:19,PRIVATE BUS:17,GOODS AUTO:10,TEMPO:8,TOURIST BUS:8,OTHERS:5,HGV:2,LORRY/GOODS VEHICLE:2,MINI LORRY:1,TANKER:1,VAN:1,FACTORY BUS:1",HAL OLD AIRPORT,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",No Junction,0.0059,0.0,2023-11-14 07:47:46+05:30,2024-04-06 10:47:46+05:30,95,21,4,Tuesday,4,good,1,4,1228,0.1717,"[4, 5, 9]",Tuesday,WEEKDAY,4.0,4.0,04:00-06:00,05:00-07:00,0.4542,HIGH,clean,HAL OLD AIRPORT,police_station_mode,MEDIUM,1,1,CRITICAL,1,51,19446,22,17,32,0.3679,cluster flagged for review; dominates station (37% of station violations),145,0.6552,0.913,75.31,341,0.0477,0.1672,0.8328,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=95, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_333
C_13,12.999706963699936,77.55037343141102,6487,16,SCOOTER,"SCOOTER:2765,CAR:2025,MOTOR CYCLE:1116,MOPED:252,PASSENGER AUTO:200,MAXI-CAB:34,LGV:22,JEEP:19,GOODS AUTO:16,OTHERS:14,VAN:6,TEMPO:6,BUS (BMTC/KSRTC):4,LORRY/GOODS VEHICLE:4,HGV:3,SCHOOL VEHICLE:1",MALLESHWARAM,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",BTP027 - Modi Bridge Junction,0.0012,1.0,2023-11-10 04:19:46+05:30,2024-04-08 10:31:46+05:30,148,23,7,Sunday,7,good,1,7,1071,0.1651,"[7, 8, 9]",Sunday,WEEKDAY,7.0,8.0,07:00-09:00,08:00-10:00,0.4575,HIGH,clean,MALLESHWARAM,police_station_mode,MEDIUM,2,2,CRITICAL,1,28,24086,21,9,19,0.2693,cluster flagged for review,151,0.9801,1.0,43.83,204,0.0314,0.3041,0.6959,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=148, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_13
C_20,13.071058777450718,77.58793572473624,5251,11,SCOOTER,"SCOOTER:3185,MOTOR CYCLE:1516,CAR:476,PASSENGER AUTO:46,LGV:7,MAXI-CAB:6,VAN:5,MOPED:4,LORRY/GOODS VEHICLE:3,JEEP:2,TEMPO:1",KODIGEHALLI,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",No Junction,0.0004,0.0,2023-11-10 05:55:46+05:30,2024-04-08 11:25:46+05:30,127,23,11,Monday,4,good,1,11,1292,0.246,"[11, 12, 10]",Monday,WEEKDAY,11.0,11.0,11:00-13:00,12:00-14:00,0.617,HIGH,clean,KODIGEHALLI,police_station_mode,MEDIUM,1,1,HIGH,1,33,8738,15,10,21,0.6009,cluster flagged for review; dominates station (60% of station violations),151,0.8411,1.0,41.35,186,0.0354,0.3009,0.6991,STRUCTURAL,1,REVIEW_FIRST,Large/high-density cluster; inspect before operational use,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=127, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Large/high-density cluster; inspect before operational use,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_20
C_14,12.983488878473665,77.60328934115961,4501,19,PASSENGER AUTO,"PASSENGER AUTO:2852,CAR:675,SCOOTER:602,MOTOR CYCLE:171,MAXI-CAB:66,LGV:65,GOODS AUTO:26,VAN:12,LORRY/GOODS VEHICLE:8,MOPED:4,PRIVATE BUS:4,OTHERS:4,TEMPO:3,JEEP:3,BUS (BMTC/KSRTC):2,FACTORY BUS:1,HGV:1,TANKER:1,TOURIST BUS:1",SHIVAJINAGAR,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",BTP211 - Central Street Junction,0.0033,1.0,2023-11-10 04:46:46+05:30,2024-04-08 12:37:46+05:30,146,23,10,Sunday,6,good,1,10,662,0.1471,"[10, 11, 9]",Sunday,WEEKDAY,10.0,10.0,10:00-12:00,11:00-13:00,0.3626,HIGH,clean,SHIVAJINAGAR,police_station_mode,MEDIUM,2,2,CRITICAL,1,35,27458,21,9,24,0.1639,cluster flagged for review,151,0.9669,1.0,30.83,232,0.0515,0.329,0.671,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=146, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_14
C_153,12.974362039318262,77.54563971689441,4474,14,SCOOTER,"SCOOTER:2863,MOTOR CYCLE:1339,CAR:201,PASSENGER AUTO:40,LGV:8,OTHERS:4,MAXI-CAB:3,MOPED:3,VAN:3,TEMPO:3,LORRY/GOODS VEHICLE:2,JEEP:2,MINI LORRY:2,SCHOOL VEHICLE:1",VIJAYANAGARA,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",BTP020 - Hosahalli Metro Station,0.0013,1.0,2023-11-11 10:26:46+05:30,2024-04-06 03:10:46+05:30,126,22,4,Tuesday,2,good,1,4,718,0.1605,"[4, 8, 3]",Tuesday,WEEKDAY,8.0,4.0,04:00-06:00,08:00-10:00,0.3996,HIGH,clean,VIJAYANAGARA,police_station_mode,MEDIUM,1,1,CRITICAL,1,33,14536,21,16,17,0.3078,cluster flagged for review; dominates station (31% of station violations),148,0.8514,0.9565,35.51,315,0.0704,0.1781,0.8219,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=126, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment,True,OK,PRAKHAR_PHASE2_MERGE_V1,C_153
